company_cd,rr_cd,company_name,company_name_k,company_name_h,company_name_r,company_name_en,company_name_full_en,company_url,company_type,e_status,e_sort
1,11,JR北海道,ジェイアールホッカイドウ,北海道旅客鉄道株式会社,JR北海道,JR Hokkaido,JR Hokkaido,http://www.jrhokkaido.co.jp/,1,0,1
2,11,JR東日本,ジェイアールヒガシニホン,東日本旅客鉄道株式会社,JR東日本,JR East,JR East,http://www.jreast.co.jp/,1,0,2
3,11,JR東海,ジェイアールトウカイ,東海旅客鉄道株式会社,JR東海,JR Central,JR Central,http://jr-central.co.jp/,1,0,3
4,11,JR西日本,ジェイアールニシニホン,西日本旅客鉄道株式会社,JR西日本,JR West,JR West,http://www.westjr.co.jp/,1,0,4
5,11,JR四国,ジェイアールシコク,四国旅客鉄道株式会社,JR四国,JR Shikoku,JR Shikoku,http://www.jr-shikoku.co.jp/,1,0,5
6,11,JR九州,ジェイアールキュウシュウ,九州旅客鉄道株式会社,JR九州,JR Kyushu,JR Kyushu,http://www.jrkyushu.co.jp/,1,0,6
11,21,東武鉄道,トウブテツドウ,東武鉄道株式会社,東武,Tobu,Tobu Railway,http://www.tobu.co.jp/,2,0,11
12,22,西武鉄道,セイブテツドウ,西武鉄道株式会社,西武,Seibu,Seibu Railway,http://www.seibu-group.co.jp/railways/,2,0,12
13,23,京成電鉄,ケイセイデンテツ,京成電鉄株式会社,京成,Keisei,Keisei Electric Railway,http://www.keisei.co.jp/,2,0,13
14,24,京王電鉄,ケイオウデンテツ,京王電鉄株式会社,京王,Keio,Keio,http://www.keio.co.jp/,2,0,14
15,25,小田急電鉄,オダキュウデンテツ,小田急電鉄株式会社,小田急,Odakyu,Odakyu Electric Railway,http://www.odakyu.jp/,2,0,15
16,26,東急電鉄,トウキュウデンテツ,東京急行電鉄株式会社,東急,Tokyu,TOKYU RAILWAYS,http://www.tokyu.co.jp/,2,0,16
17,27,京急電鉄,ケイキュウデンテツ,京浜急行電鉄株式会社,京急,Keikyu,Keikyu,http://www.keikyu.co.jp/,2,0,17
18,28,東京メトロ,トウキョウメトロ,東京地下鉄株式会社,東京メトロ,Tokyo Metro,Tokyo Metro,http://www.tokyometro.jp/,2,0,18
19,29,相模鉄道,サガミテツドウ,相模鉄道株式会社,相鉄,Sotetsu,Sagami Railway,http://www.sotetsu.co.jp/,2,0,19
20,30,名古屋鉄道,ナゴヤテツドウ,名古屋鉄道株式会社,名鉄,Meitetsu,Nagoya Railroad,http://www.meitetsu.co.jp/,2,0,20
21,31,近畿日本鉄道,キンキニホンテツドウ,近畿日本鉄道株式会社,近鉄,Kintetsu,Kintetsu Railway,http://www.kintetsu.co.jp/,2,0,21
22,32,南海電鉄,ナンカイデンテツ,南海電気鉄道株式会社,南海,Nankai,Nankai Electric Railway,http://www.nankai.co.jp/,2,0,22
23,33,京阪電鉄,ケイハンデンテツ,京阪電気鉄道株式会社,京阪,Keihan,Keihan Electric Railway,http://www.keihan.co.jp/,2,0,23
24,34,阪急電鉄,ハンキュウデンテツ,阪急電鉄株式会社,阪急,Hankyu,Hankyu,http://rail.hankyu.co.jp/,2,0,24
25,35,阪神電鉄,ハンシンデンテツ,阪神電気鉄道株式会社,阪神,Hanshin,Hanshin Electric Railway,http://rail.hanshin.co.jp/,2,0,25
26,36,西日本鉄道,ニシニホンテツドウ,西日本鉄道株式会社,西鉄,Nishitetsu,Nishi-Nippon Railroad,http://www.nishitetsu.co.jp/,2,0,26
101,99,札幌市交通局,サッポロシコウツウキョク,札幌市交通局,札幌市交通局,Sapporo City Transportation Bureau,Sapporo City Transportation Bureau,http://www.city.sapporo.jp/st/,0,0,101
102,99,函館市交通局,ハコダテシコウツウキョク,函館市交通局,函館市電,Hakodate Transportation Bureau,Hakodate Transportation Bureau,http://www.city.hakodate.hokkaido.jp/transport/,0,0,102
103,99,北海道ちほく高原鉄道,ホッカイドウチホクコウゲンテツドウ,北海道ちほく高原鉄道株式会社,北海道ちほく高原鉄道,Hokkaidō Chihoku Kōgen Railway,Hokkaidō Chihoku Kōgen Railway,,0,2,103
248,99,道南いさりび鉄道,ドウナンイサリビテツドウ,道南いさりび鉄道株式会社,道南いさりび,South Hokkaido Railway,South Hokkaido Railway,http://www.shr-isaribi.jp,0,0,103
104,99,津軽鉄道,ツガルテツドウ,津軽鉄道株式会社,津軽鉄道,Tsugaru Railway,Tsugaru Railway,http://tsutetsu.com/,0,0,104
105,99,弘南鉄道,コウナンテツドウ,弘南鉄道,弘南鉄道,Konan Railway,Konan Railway,http://konantetsudo.jp/,0,0,105
106,99,十和田観光電鉄,トワダカンコウデンデツ,十和田観光電鉄株式会社,十和田観光電鉄,Towada Kanko Electric Railway,Towada Kanko Electric Railway,http://www.toutetsu.co.jp/,0,2,106
107,99,IGRいわて銀河鉄道,アイジーアールイワテギンガテツドウ,IGRいわて銀河鉄道株式会社,IGRいわて銀河鉄道,IGR,Iwate Ginga Railway,http://www.igr.jp/,0,0,107
108,99,青い森鉄道,アオイモリテツドウ,青い森鉄道株式会社,青い森鉄道,Aoimori Railway,Aoimori Railway,http://aoimorirailway.com/,0,0,108
109,99,三陸鉄道,サンリクテツドウ,三陸鉄道株式会社,三鉄,Santetsu,Santetsu,http://www.sanrikutetsudou.com/,0,0,109
110,99,秋田内陸縦貫鉄道,アキタナイリクジュウカンテツドウ,秋田内陸縦貫鉄道株式会社,秋田内陸縦貫鉄道,Akita Nairiku Jukan Tetsudo,Akita Nairiku Jukan Tetsudo,http://www.akita-nairiku.com/,0,0,110
111,99,由利高原鉄道,ユリコウゲンテツドウ,由利高原鉄道株式会社,由利高原鉄道,Yuri Kōgen Railway,Yuri Kōgen Railway,http://www.obako5.com/,0,0,111
112,99,山形鉄道,ヤマガタテツドウ,山形鉄道株式会社,山形鉄道,Yamagata Railway,Yamagata Railway,http://www.flower-liner.jp/,0,0,112
113,99,くりはら田園鉄道,クリハラデンエンテツドウ,くりはら田園鉄道株式会社,栗原電鉄,Kurihara Den'en Railway,Kurihara Den'en Railway,,0,2,113
114,99,阿武隈急行,アブクマキュウコウ,阿武隈急行株式会社,阿武隈急行,Abukuma Express,Abukuma Express,http://www.abukyu.co.jp/,0,0,114
115,99,仙台市交通局,センダイシコウツウキョク,仙台市交通局,仙台市営地下鉄,Sendai City Transportation Bureau,Sendai City Transportation Bureau,http://www.kotsu.city.sendai.jp/,0,0,115
116,99,福島交通,フクシマコウツウ,福島交通株式会社,福島交通,Fukushima Transportation,Fukushima Transportation,http://www.fukushima-koutu.co.jp/,0,0,116
117,99,会津鉄道,アイヅテツドウ,会津鉄道株式会社,会津鉄道,Aizu Railway,Aizu Railway,http://www.aizutetsudo.jp/,0,0,117
250,99,宇都宮ライトレール,ウツノミヤライトレール,宇都宮ライトレール株式会社,宇都宮ライトレール,Utsunomiya LRT,Utsunomiya Light Rail,https://www.miyarail.co.jp/,0,0,117
118,99,仙台空港鉄道,センダイクウコウテツドウ,仙台空港鉄道株式会社,仙台空港鉄道,Sendai Airport Transit,Sendai Airport Transit,http://www.senat.co.jp/,0,0,118
119,99,東京都交通局,トウキョウトコウツウキョク,東京都交通局,都営交通,Toei Transportation,Toei Transportation,http://www.kotsu.metro.tokyo.jp/,0,0,119
