line_cd,company_cd,line_name,line_name_k,line_name_h,line_name_r,line_name_rn,line_name_zh,line_name_ko,line_color_c,line_color_t,line_type,line_symbol1,line_symbol2,line_symbol3,line_symbol4,line_symbol1_color,line_symbol2_color,line_symbol3_color,line_symbol4_color,line_symbol1_shape,line_symbol2_shape,line_symbol3_shape,line_symbol4_shape,lon,lat,zoom,e_status,e_sort,average_distance
1001,3,中央新幹線,チュウオウシンカンセン,中央新幹線,Chuo Shinkansen,Chuo Shinkansen,中央新干线,주오 신칸센,,無し,1,,,,,,,,,NOOP,,,,137.49389648438,35.411438052435,8,1,1001,0
1002,3,東海道新幹線,トウカイドウシンカンセン,東海道新幹線,Tokaido Shinkansen,Tokaido Shinkansen,东海道新干线,도카이도 신칸센,0000FF,ブルー,1,,,,,,,,,NOOP,,,,137.72148868199,35.144121935483,7,0,1002,30294.05713
1003,4,山陽新幹線,サンヨウシンカンセン,山陽新幹線,Sanyo Shinkansen,Sanyo Shinkansen,山阳新干线,산요 신칸센,0000FF,ブルー,1,,,,,,,,,NOOP,,,,133.14789611678,34.419337699534,7,0,1003,28619.32298
1004,2,東北新幹線,トウホクシンカンセン,東北新幹線,Tōhoku Shinkansen,Tohoku Shinkansen,东北新干线,도호쿠 신칸센,008000,グリーン,1,,,,,,,,,NOOP,,,,140.76319219429,38.274266939284,7,0,1004,29574.41173
1005,2,上越新幹線,ジョウエツシンカンセン,上越新幹線,Joetsu Shinkansen,Joetsu Shinkansen,上越新干线,조에쓰 신칸센,008000,グリーン,1,,,,,,,,,NOOP,,,,139.12148795052,36.798564726932,8,0,1005,26218.00301
1006,2,上越新幹線(ガーラ湯沢支線),ジョウエツシンカンセン,上越新幹線(ガーラ湯沢支線),Joetsu Shinkansen,Joetsu Shinkansen,上越新干线,조에쓰 신칸센,008000,グリーン,1,,,,,,,,,NOOP,,,,138.8032503783,36.942882112443,14,0,1006,1882.056146
1007,2,山形新幹線,ヤマガタシンカンセン,山形新幹線,Yamagata Shinkansen,Yamagata Shinkansen,山形新干线,야마가타 신칸센,FFA030,オレンジ,1,,,,,,,,,NOOP,,,,140.16847776151,37.588208809852,8,0,1007,21422.46215
1008,2,秋田新幹線,アキタシンカンセン,秋田新幹線,Akita Shinkansen,Akita Shinkansen,秋田新干线,아키타 신칸센,FF0080,ピンク,1,,,,,,,,,NOOP,,,,140.36225377378,37.757288952945,7,0,1008,26981.79793
1009,2,北陸新幹線,ホクリクシンカンセン,北陸新幹線,Hokuriku Shinkansen,Hokuriku Shinkansen,北陆新干线,호쿠리쿠 신칸센,008000,グリーン,1,,,,,,,,,NOOP,,,,138.03569767624,36.185981373986,7,0,1009,23446.11815
1010,6,九州新幹線,キュウシュウシンカンセン,九州新幹線,Kyushu Shinkansen,Kyushu Shinkansen,九州新干线,규슈 신칸센,FF0000,レッド,1,,,,,,,,,NOOP,,,,130.57682379427,32.794280023118,8,0,1010,22194.20317
1011,1,北海道新幹線,ホッカイドウシンカンセン,北海道新幹線,Hokkaido Shinkansen,Hokkaido Shinkansen,北海道新干线,홋카이도 신칸센,6E5CA5,紫,1,,,,,,,,,NOOP,,,,140.64422607422,42.094146370923,7,0,1011,41348.26789
1012,6,西九州新幹線,ニシキュウシュウシンカンセン,西九州新幹線,Nishi-Kyushu Shinkansen,Nishi-Kyushu Shinkansen,西九州新干线,니시큐슈 신칸센,E10017,赤,1,,,,,,,,,NOOP,,,,130.0229,33.196289,9,0,1012,15341.17416
11101,1,函館本線,ハコダテホンセン,函館本線,Hakodate Main Line,Hakodate Main Line,函馆本线,하코다테 본선,0072BC,青,2,H,N,,,#0072BC,#0072BC,,,ROUND,ROUND,,,140.48336967554,42.239814112315,9,0,11101,3903.385168
