station_cd,station_g_cd,station_name,station_name_k,station_name_r,station_name_zh,station_name_ko,primary_station_number,secondary_station_number,extra_station_number,three_letter_code,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
100201,1130101,東京,トウキョウ,Tōkyō,东京,도쿄,,,,TYO,1002,13,100-0005,東京都千代田区丸の内一丁目9-1,139.766084,35.681382,1914-12-20,0000-00-00,0,100201
100202,1130103,品川,シナガワ,Shinagawa,品川,시나가와,,,,SGW,1002,13,108-0075,東京都港区港南二丁目1-78,139.74044,35.630152,1872-06-12,0000-00-00,0,100202
100203,1130604,新横浜,シンヨコハマ,Shin-Yokohama,新横滨,신요코하마,,,,,1002,14,222-0026,神奈川県横浜市港北区篠原町2937,139.617585,35.507456,1964-10-01,0000-00-00,0,100203
100204,1130116,小田原,オダワラ,Odawara,小田原,오다와라,,,,,1002,14,250-0045,神奈川県小田原市城山一丁目1-1,139.154904,35.25642,1920-10-21,0000-00-00,0,100204
100205,1130121,熱海,アタミ,Atami,热海,아타미,,,,,1002,22,413-0011,静岡県熱海市田原本町11-1,139.07776,35.103217,1925-03-25,0000-00-00,0,100205
100206,1150103,三島,ミシマ,Mishima,三岛,미시마,,,,,1002,22,411-0036,静岡県三島市一番町16-1,138.910627,35.127152,1934-12-01,0000-00-00,0,100206
100207,100207,新富士,シンフジ,Shin-Fuji,新富士,신후지,,,,,1002,22,416-0939,静岡県富士市川成島640,138.663382,35.142015,1988-03-13,0000-00-00,0,100207
100208,1150118,静岡,シズオカ,Shizuoka,静冈,시즈오카,,,,,1002,22,420-0851,静岡県静岡市葵区黒金町50,138.38884,34.97171,1889-02-01,0000-00-00,0,100208
100209,1150128,掛川,カケガワ,Kakegawa,挂川,가케가와,,,,,1002,22,436-0029,静岡県掛川市南一丁目1-1,138.014928,34.769758,1889-04-16,0000-00-00,0,100209
100210,1150201,浜松,ハママツ,Hamamatsu,滨松,하마마쓰,,,,,1002,22,430-0926,静岡県浜松市中区砂山町6-2,137.734442,34.703741,1888-09-01,0000-00-00,0,100210
100211,1141301,豊橋,トヨハシ,Toyohashi,丰桥,도요하시,,,,,1002,23,441-8019,愛知県豊橋市花田町字西宿,137.381651,34.762811,1888-09-01,0000-00-00,0,100211
100212,1150222,三河安城,ミカワアンジョウ,Mikawa-Anjō,三河安城,미카와안조,,,,,1002,23,446-0056,愛知県安城市三河安城町一丁目18-2,137.060662,34.96897,1988-03-13,0000-00-00,0,100212
100213,1141101,名古屋,ナゴヤ,Nagoya,名古屋,나고야,,,,,1002,23,450-0002,愛知県名古屋市中村区名駅一丁目1-4,136.881645,35.170686,1886-05-01,0000-00-00,0,100213
100214,3002102,岐阜羽島,ギフハシマ,Gifu-Hashima,岐阜羽島,기후하시마,,,,,1002,21,501-6257,岐阜県羽島市福寿町平方645-1,136.685822,35.316001,1964-10-01,0000-00-00,0,100214
100215,1141501,米原,マイバラ,Maibara,米原,마이바라,,,,,1002,25,521-0012,滋賀県米原市米原475,136.290488,35.314188,1889-07-01,0000-00-00,0,100215
100216,1160120,京都,キョウト,Kyōto,京都,교토,,,,,1002,26,600-8214,京都府京都市下京区東塩小路高倉町8-3,135.757755,34.985458,1877-02-06,0000-00-00,0,100216
100217,1160213,新大阪,シンオオサカ,Shin-Ōsaka,新大阪,신오사카,,,,,1002,27,532-0011,大阪府大阪市淀川区西中島五丁目16-1,135.500109,34.73348,1964-10-01,0000-00-00,0,100217
100301,1160213,新大阪,シンオオサカ,Shin-Ōsaka,新大阪,신오사카,,,,,1003,27,532-0011,大阪府大阪市淀川区西中島五丁目16-1,135.500109,34.73348,1964-10-01,0000-00-00,0,100301
100302,9963601,新神戸,シンコウベ,Shin-Kōbe,新神户,신코베,,,,,1003,28,650-0001,兵庫県神戸市中央区加納町一丁目3-1,135.195758,34.706417,1972-03-15,0000-00-00,0,100302
100303,1160811,西明石,ニシアカシ,Nishi-Akashi,西明石,니시아카시,,,,,1003,28,673-0005,兵庫県明石市小久保二丁目7-20,134.960542,34.666855,1944-04-01,0000-00-00,0,100303
100304,1160821,姫路,ヒメジ,Himeji,姫路,히메지,,,,,1003,28,670-0927,兵庫県姫路市駅前町188,134.690849,34.827642,1888-12-23,0000-00-00,0,100304
100305,1160905,相生,アイオイ,Aioi,相生,아이오이,,,,,1003,28,678-0006,兵庫県相生市本郷町1-10,134.473888,34.817955,1890-07-10,0000-00-00,0,100305
100306,1160917,岡山,オカヤマ,Okayama,冈山,오카야마,,,,,1003,33,700-0023,岡山県岡山市北区駅元町1番1号,133.918588,34.666369,1891-03-18,0000-00-00,0,100306
100307,1161007,新倉敷,シンクラシキ,Shin-Kurashiki,新仓敷,신쿠라시키,,,,,1003,33,710-0252,岡山県倉敷市玉島爪崎390-4,133.678671,34.56499,1891-07-14,0000-00-00,0,100307
100308,1161014,福山,フクヤマ,Fukuyama,福山,후쿠야마,,,,,1003,34,720-0066,広島県福山市三之丸町30-1,133.361432,34.489327,1891-09-11,0000-00-00,0,100308
100309,100309,新尾道,シンオノミチ,Shin-Onomichi,新尾道,신오노미치,,,,,1003,34,722-0022,広島県尾道市栗原町9381-4,133.190158,34.429859,1988-03-13,0000-00-00,0,100309
100310,1161020,三原,ミハラ,Mihara,三原,미하라,,,,,1003,34,723-0014,広島県三原市城町一丁目1-1,133.083572,34.399934,1894-06-10,0000-00-00,0,100310
100311,100311,東広島,ヒガシヒロシマ,Higashihiroshima,东广岛,히가시히로시마,,,,,1003,34,739-0026,広島県東広島市三永一丁目4-24,132.759762,34.389035,1988-03-13,0000-00-00,0,100311
100312,1161115,広島,ヒロシマ,Hiroshima,广岛,히로시마,,,,,1003,34,732-0822,広島県広島市南区松原町2-37,132.4758267,34.39823447,0000-00-00,0000-00-00,0,100312
100313,100313,新岩国,シンイワクニ,Shin-Iwakuni,新岩国,신이와쿠니,,,,,1003,35,741-0083,山口県岩国市御庄1055-1,132.149384,34.164672,1975-03-10,0000-00-00,0,100313
100314,1161216,徳山,トクヤマ,Tokuyama,德山,도쿠야마,,,,,1003,35,745-0034,山口県周南市御幸通二丁目28,131.8029,34.051555,1897-09-25,0000-00-00,0,100314
100315,1161224,新山口,シンヤマグチ,Shin-Yamaguchi,新山口,신야마구치,,,,,1003,35,754-0002,山口県山口市小郡下郷1294,131.397155,34.093061,1900-12-03,0000-00-00,0,100315
