id,line_name,line_name_k,line_name_h,line_name_r,line_name_zh,line_name_ko,line_color_c,#メモ
1,東武スカイツリーライン,トウブスカイツリーライン,,Tobu Skytree Line,东武晴空塔线,도부 스카이트리 라인,#0067C0,
2,欠番,,,,,,,
3,あまくさみすみ線,アマクサミスミセン,,,,,,
4,欠番,,,,,,,
5,,,,,,,#F68B1E,相鉄・JR直通線の湘南新宿ライン区間
6,,,,,,,#00B48D,相鉄・JR直通線の埼京線区間
7,,,,,,,#FFD400,JR総武本線千葉以東
8,欠番,,,,,,,
9,神戸市営地下鉄西神・山手線,コウベシエイチカテツセイシン・ヤマテセン,神戸市営地下鉄西神・山手線,Kobe Municipal Subway Seishin-Yamate Line,,,,西神線・山手線を統合
10,中央西線,チュウオウサイセン,中央本線,Chuo West Line,,,,
11,中央東線,チュウオウトウセン,中央本線,Chuo East Line,,,,
12,総武快速線,ソウブカイソクセン,総武本線,Sobu Line (Rapid Service),总武线,소부선,#0067C0,
