id,station_cd1,station_cd2,distance
1,100201,100202,6140.152858
2,100202,100203,17588.47056
3,100203,100204,50429.10907
4,100204,100205,18392.19929
5,100205,100206,15465.52548
6,100206,100207,22593.77801
7,100207,100208,31372.54001
8,100208,100209,40874.46334
9,100209,100210,26710.42558
10,100210,100211,32967.62979
11,100211,100212,37209.05149
12,100212,100213,27702.34121
13,100213,100214,24033.01955
14,100214,100215,35950.98857
15,100215,100216,60716.9878
16,100216,100217,36558.23152
17,100301,100302,28039.16746
18,100302,100303,21996.26124
19,100303,100304,30463.35163
20,100304,100305,19877.64643
21,100305,100306,53559.26193
22,100306,100307,24711.00337
23,100307,100308,30311.06248
24,100308,100309,17064.09883
25,100309,100310,10345.81721
26,100310,100311,29800.65762
27,100311,100312,26129.62208
28,100312,100313,39683.29849
29,100313,100314,34343.417
30,100314,100315,37734.79253
31,100315,100316,22332.40965
32,100316,100317,20257.68623
33,100317,100318,14483.22889
34,100318,100319,54015.03062
35,100401,100402,3732.842053
36,100402,100403,25451.14468
37,100403,100404,48172.07611
38,100404,100405,28343.14274
39,100405,100406,42815.72054
40,100406,100407,26008.70152
41,100407,100408,35247.40819
42,100408,100409,40033.05122
43,100409,100410,30850.7818
44,100410,100411,36624.76806
45,100411,100412,35282.59995
46,100412,100413,21733.67073
47,100413,100414,20510.76817
48,100414,100415,24706.10179
49,100415,100416,16252.56649
50,100416,100417,14478.46462
51,100417,100418,32935.00956
52,100418,100419,29605.36371
53,100419,100420,33705.42782
54,100420,100421,30323.46612
55,100421,100422,33155.15615
56,100422,100423,40668.82604
57,100501,100502,3732.842053
58,100502,100503,25451.14468
59,100503,100504,33411.9074
60,100504,100505,20836.83927
61,100505,100506,18892.67509
62,100506,100507,41266.55899
63,100507,100508,30837.7736
64,100508,100509,27579.77176
65,100509,100510,31689.19368
66,100510,100511,23424.77168
67,100511,100512,31274.55494
68,100601,100602,1882.056146
69,100701,100702,3732.842053
70,100702,100703,25451.14468
71,100703,100704,48172.07611
72,100704,100705,28343.14274
73,100705,100706,42815.72054
74,100706,100707,26008.70152
75,100707,100708,35247.40819
76,100708,100709,40033.05122
77,100709,100710,33829.51165
78,100710,100711,9467.553495
79,100711,100712,6072.485841
80,100712,100713,16248.90948
81,100713,100714,11548.21397
82,100714,100715,12899.04588
83,100715,100716,7651.922942
84,100716,100717,5435.660454
85,100717,100718,13197.6126
86,100718,100719,19449.31537
87,100801,100802,3732.842053
88,100802,100803,25451.14468
89,100803,100804,48172.07611
90,100804,100805,28343.14274
91,100805,100806,42815.72054
92,100806,100807,26008.70152
93,100807,100808,35247.40819
94,100808,100809,40033.05122
95,100809,100810,30850.7818
96,100810,100811,36624.76806
97,100811,100812,35282.59995
98,100812,100813,21733.67073
99,100813,100814,20510.76817
100,100814,100815,24706.10179
101,100815,100816,16252.56649
102,100816,100817,14478.46462
103,100817,100818,32935.00956
104,100818,100819,13921.45276
105,100819,100820,21685.46285
106,100820,100821,17726.01071
107,100821,100822,16064.65655
108,100822,100823,41023.15332
109,100901,100902,3732.842053
110,100902,100903,25451.14468
111,100903,100904,33411.9074
112,100904,100905,20836.83927
113,100905,100906,18892.67509
114,100906,100907,15333.14686
115,100907,100908,19381.77538
116,100908,100909,16927.88351
117,100909,100910,23332.45813
118,100910,100911,27895.19355
119,100911,100912,27126.62846
120,100912,100913,27938.68602
121,100913,100914,34675.42997
122,100914,100915,38857.60358
123,100915,100916,30502.16721
124,100916,100917,18325.55835
125,100917,100918,36364.56307
126,100918,100919,26249.62097
127,100919,100920,12889.09802
128,100920,100921,15676.33425
129,100921,100922,16938.79632
130,100922,100923,18596.4215
131,100923,100924,29923.94379
132,101001,101002,25246.52461
133,101002,101003,5610.702436
134,101003,101004,15828.40298
135,101004,101005,11834.95568
136,101005,101006,16330.675
137,101006,101007,20083.53911
138,101007,101008,30618.30474
139,101008,101009,39193.75991
140,101009,101010,14994.21653
141,101010,101011,30898.56956
142,101011,101012,33496.58428
143,101101,101102,38317.99589
144,101102,101103,59606.21774
145,101103,101104,30793.35657
146,101104,101105,51939.66668
147,101105,101106,30906.1059
148,101106,101107,52818.48387
149,101107,101108,35083.73622
150,101108,101109,31320.58026
151,101201,101202,10199.3231
152,101202,101203,19668.78292
153,101203,101204,11963.56607
154,101204,101205,19533.02457
155,1110101,1110102,3367.695921
156,1110102,1110103,4845.394215
157,1110103,1110104,2164.452386
158,1110104,1110105,3235.206807
159,1110105,1110106,4044.225569
160,1110105,1110108,9572.740557
161,1110106,1110107,2890.983754
162,1110107,1110108,5452.306999
163,1110108,1110109,1000.679688
164,1110108,1110117,13298.67839
165,1110109,1110110,3342.920493
166,1110110,1110111,4764.273139
167,1110111,1110123,8356.419195
168,1110117,1110118,5132.277648
169,1110118,1110119,5074.104505
170,1110119,1110120,3604.967446
