station_cd,lat,lat,lon,lon
100201,35.681382,35.681382,139.766084,139.766084
100202,35.630152,35.630152,139.740440,139.740440
100203,35.507456,35.507456,139.617585,139.617585
100204,35.256420,35.256420,139.154904,139.154904
100205,35.103217,35.103217,139.077760,139.077760
100206,35.127152,35.127152,138.910627,138.910627
100207,35.142015,35.142015,138.663382,138.663382
100208,34.971710,34.971710,138.388840,138.388840
100209,34.769758,34.769758,138.014928,138.014928
100210,34.703741,34.703741,137.734442,137.734442
100211,34.762811,34.762811,137.381651,137.381651
100212,34.968970,34.968970,137.060662,137.060662
100213,35.170686,35.170686,136.881645,136.881645
100214,35.316001,35.316001,136.685822,136.685822
100215,35.314188,35.314188,136.290488,136.290488
100216,34.985458,34.985458,135.757755,135.757755
100217,34.733480,34.733480,135.500109,135.500109
100301,34.733480,34.733480,135.500109,135.500109
100302,34.706417,34.706417,135.195758,135.195758
100303,34.666855,34.666855,134.960542,134.960542
100304,34.827642,34.827642,134.690849,134.690849
100305,34.817955,34.817955,134.473888,134.473888
100306,34.666369,34.666369,133.918588,133.918588
100307,34.564990,34.564990,133.678671,133.678671
100308,34.489327,34.489327,133.361432,133.361432
100309,34.429859,34.429859,133.190158,133.190158
100310,34.399934,34.399934,133.083572,133.083572
100311,34.389035,34.389035,132.759762,132.759762
100312,34.398234,34.398234,132.475827,132.475827
100313,34.164672,34.164672,132.149384,132.149384
100314,34.051555,34.051555,131.802900,131.802900
100315,34.093061,34.093061,131.397155,131.397155
100316,34.053361,34.053361,131.159965,131.159965
100317,34.005615,34.005615,130.948243,130.948243
100318,33.887108,33.887108,130.882466,130.882466
100319,33.590002,33.590002,130.420622,130.420622
100401,35.681382,35.681382,139.766084,139.766084
100402,35.713768,35.713768,139.777254,139.777254
100403,35.906206,35.906206,139.624000,139.624000
100404,36.314200,36.314200,139.806850,139.806850
100405,36.558701,36.558701,139.898283,139.898283
100406,36.931772,36.931772,140.020514,140.020514
100407,37.123281,37.123281,140.188998,140.188998
100408,37.397983,37.397983,140.388412,140.388412
100409,37.754311,37.754311,140.458724,140.458724
100410,37.995485,37.995485,140.633035,140.633035
100411,38.260286,38.260286,140.882244,140.882244
100412,38.570920,38.570920,140.967832,140.967832
100413,38.748930,38.748930,141.071785,141.071785
100414,38.926080,38.926080,141.138890,141.138890
100415,39.145194,39.145194,141.188803,141.188803
100416,39.282229,39.282229,141.122598,141.122598
100417,39.406453,39.406453,141.173715,141.173715
100418,39.701683,39.701683,141.136369,141.136369
100419,39.960853,39.960853,141.217655,141.217655
100420,40.259881,40.259881,141.285655,141.285655
100421,40.509161,40.509161,141.431468,141.431468
100422,40.719917,40.719917,141.153948,141.153948
100423,40.827500,40.827500,140.693472,140.693472
100501,35.681382,35.681382,139.766084,139.766084
100502,35.713768,35.713768,139.777254,139.777254
100503,35.906206,35.906206,139.624000,139.624000
100504,36.139702,36.139702,139.389942,139.389942
100505,36.218575,36.218575,139.179739,139.179739
100506,36.322356,36.322356,139.013057,139.013057
100507,36.693128,36.693128,138.977579,138.977579
