line_cd,company_cd,line_name,line_name_k,line_name_h,line_name_r,line_name_zh,line_name_ko,line_color_c,line_color_t,line_type,line_symbol_primary,line_symbol_secondary,line_symbol_extra,line_symbol_primary_color,line_symbol_secondary_color,line_symbol_extra_color,lon,lat,zoom,e_status,e_sort
1001,3,中央新幹線,チュウオウシンカンセン,中央新幹線,Chuo Shinkansen,中央新干线,주오 신칸센,000000,無し,1,,,,,,,137.4938965,35.41143805,8,1,1001
1002,3,東海道新幹線,トウカイドウシンカンセン,東海道新幹線,Tokaido Shinkansen,东海道新干线,도카이도 신칸센,0000FF,ブルー,1,,,,,,,137.7214887,35.14412194,7,0,1002
1003,4,山陽新幹線,サンヨウシンカンセン,山陽新幹線,Sanyo Shinkansen,山阳新干线,산요 신칸센,0000FF,ブルー,1,,,,,,,133.1478961,34.4193377,7,0,1003
1004,2,東北新幹線,トウホクシンカンセン,東北新幹線,Tōhoku Shinkansen,东北新干线,도호쿠 신칸센,008000,グリーン,1,,,,,,,140.7631922,38.27426694,7,0,1004
1005,2,上越新幹線,ジョウエツシンカンセン,上越新幹線,Joetsu Shinkansen,上越新干线,조에쓰 신칸센,008000,グリーン,1,,,,,,,139.121488,36.79856473,8,0,1005
1006,2,上越新幹線(ガーラ湯沢支線),ジョウエツシンカンセン,上越新幹線(ガーラ湯沢支線),Joetsu Shinkansen(Gala Yuzawa Branch),上越新干线(支线),조에쓰 신칸센(지선),008000,グリーン,1,,,,,,,138.8032504,36.94288211,14,0,1006
1007,2,山形新幹線,ヤマガタシンカンセン,山形新幹線,Yamagata Shinkansen,山形新干线,야마가타 신칸센,FFA030,オレンジ,1,,,,,,,140.1684778,37.58820881,8,0,1007
1008,2,秋田新幹線,アキタシンカンセン,秋田新幹線,Akita Shinkansen,秋田新干线,아키타 신칸센,FF0080,ピンク,1,,,,,,,140.3622538,37.75728895,7,0,1008
1009,2,北陸新幹線,ホクリクシンカンセン,北陸新幹線,Hokuriku Shinkansen,北陆新干线,호쿠리쿠 신칸센,008000,グリーン,1,,,,,,,138.0356977,36.18598137,8,0,1009
1010,6,九州新幹線,キュウシュウシンカンセン,九州新幹線,Kyushu Shinkansen,九州新干线,규슈 신칸센,FF0000,レッド,1,,,,,,,130.5768238,32.79428002,8,0,1010
1011,1,北海道新幹線,ホッカイドウシンカンセン,北海道新幹線,Hokkaido Shinkansen,北海道新干线,홋카이도 신칸센,6E5CA5,紫,1,,,,,,,140.6442261,42.09414637,7,0,1011
11101,1,JR函館本線(函館～長万部),ハコダテホンセン,JR函館本線(函館～長万部),JR Hakodate Main Line,JR函馆本线,JR 하코다테 본선,0072BC,青,2,H,N,,0072bc,0072bc,,140.4833697,42.23981411,9,0,11101
11102,1,JR函館本線(長万部～小樽),ハコダテホンセン,JR函館本線(長万部～小樽),JR Hakodate Main Line,JR函馆本线,JR 하코다테 본선,ED1C23,赤,2,S,H,,ed1c23,0072bc,,140.6428878,42.91991023,9,0,11102
11103,1,JR函館本線(小樽～旭川),ハコダテホンセン,JR函館本線(小樽～旭川),JR Hakodate Main Line,JR函馆本线,JR 하코다테 본선,F7931D,オレンジ,2,A,H,0,f7931d,0072bc,000000,141.6979108,43.4150974,9,0,11103
11104,1,JR室蘭本線(長万部・室蘭～苫小牧),ムロランホンセン,JR室蘭本線(長万部・室蘭～苫小牧),JR Muroran Main Line,JR室兰本线,JR 무로란 본선,0072BC,青,2,H,M,,0072bc,0072bc,,141.0063937,42.57071674,9,0,11104
11105,1,JR室蘭本線(苫小牧～岩見沢),ムロランホンセン,JR室蘭本線(苫小牧～岩見沢),JR Muroran Main Line,JR室兰本线,JR 무로란 본선,808080,グレー,2,H,K,A,0072bc,8cc63e,f7931d,141.7444991,42.93841714,10,0,11105
11106,1,JR根室本線(滝川～新得),ネムロホンセン,JR根室本線(滝川～新得),JR Nemuro Main Line,JR根室本线,JR 네무로 본선,F6989D,薄いピンク,2,T,K,A,f6989d,8cc63e,f7931d,142.3355332,43.35975106,10,0,11106
11107,1,JR根室本線(新得～釧路),ネムロホンセン,JR根室本線(新得～釧路),JR Nemuro Main Line,JR根室本线,JR 네무로 본선,8CC63E,黄緑,2,K,,,8cc63e,,,143.5647441,42.9656747,9,0,11107
11108,1,花咲線,ハナサキセン,JR根室本線(釧路～根室),Hanasaki Line,花咲线,하나사키 선,808080,グレー,2,K,B,,8cc63e,ef59a1,,145.0642882,43.12755462,9,0,11108
11109,1,JR千歳線,チトセセン,JR千歳線,JR Chitose Line,JR千岁线,JR 지토세 선,00B2EB,スカイブルー,2,H,AP,0,0072bc,00b2eb,000000,141.5675688,42.88585087,10,0,11109
11110,1,JR石勝線,セキショウセン,JR石勝線,JR Sekisho Main Line,JR石胜线,JR 세키쇼 선,8CC63E,黄緑,2,K,H,Y,8cc63e,0072bc,8cc63e,142.1208103,42.97760967,9,0,11110
11111,1,JR日高本線,ヒダカホンセン,JR日高本線,JR Hidaka Main Line,JR日高本线,JR 히다카 본선,808080,グレー,2,H,,,0072bc,,,142.1892282,42.43948998,9,0,11111
11112,1,JR札沼線,サッショウセン,JR札沼線,JR Sassho Line,JR札沼线,JR 삿쇼 선,00A54F,緑,2,G,S,0,00a54f,ed1c23,000000,141.6575101,43.33044878,10,0,11112
11113,1,JR留萌本線,ルモイホンセン,JR留萌本線,JR Rumoi Main Line,JR留萌本线,JR 루모이 본선,808080,グレー,2,,,,,,,141.763792,43.84733117,10,0,11113
11114,1,JR富良野線,フラノセン,JR富良野線,JR Furano Line,JR富良野线,JR 후라노 선,AA5EA6,紫,2,F,A,T,aa5ea6,f7931d,f6989d,142.4293334,43.60983839,10,0,11114
11115,1,JR宗谷本線,ソウヤホンセン,JR宗谷本線,JR Soya Main Line,JR宗谷本线,JR 소야 본선,954A35,茶,2,W,A,,954a35,f7931d,,142.225614,44.6587297,8,0,11115
11116,1,JR石北本線,セキホクホンセン,JR石北本線,JR Sekihoku Main Line,JR石北本线,JR 세키호쿠 본선,F7931D,オレンジ,2,A,,,f7931d,,,143.3629461,43.9613877,8,0,11116
